[2025-02-28 19:13:31,733] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,747] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,762] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,776] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,798] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,804] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,837] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,852] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,866] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,897] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,902] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:31,906] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:34,657] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:34,670] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:34,685] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:34,706] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:34,711] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:34,725] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:35,490] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:35,504] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:35,517] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:35,531] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:35,545] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:35,559] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,350] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,355] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,369] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,391] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,396] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,410] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,441] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,454] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,477] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,482] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,495] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:36,510] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:38,919] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:38,933] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:38,948] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:38,982] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:38,987] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:38,993] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,253] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,318] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,344] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,354] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,363] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,384] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,456] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,464] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,471] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,479] [INFO] Not enough data for EMA calculations.
[2025-02-28 19:13:41,487] [INFO] Not enough data for EMA calculations.
